MonthYear,Price(USD),Open(USD),High(USD),Low(USD),Volume(USD),Change %
May 02,326.50,307.50,329.00,306.80,28820.0,5.7
Apr 02,308.90,302.60,312.50,297.50,2660.0,2.08
Mar 02,302.60,298.00,304.50,298.00,4240.0,1.99
Feb 02,296.70,282.30,308.00,282.20,5100.0,5.18
Jan 02,282.10,279.00,283.20,276.70,27500.0,1.22
Dec 01,278.70,274.20,281.30,271.20,2900.0,1.75
Nov 01,273.90,280.50,280.50,272.60,27210.0,-2.0
Oct 01,279.50,291.80,292.90,274.00,960.0,-4.41
Sep 01,292.40,289.50,294.00,289.00,2730.0,6.56
Aug 01,274.40,266.20,280.80,265.80,2170.0,3.08
Jul 01,266.20,263.70,267.50,263.70,19970.0,-1.63
Jun 01,270.60,264.70,277.00,264.50,1960.0,2.0
May 01,265.30,274.40,275.00,264.20,31740.0,0.49
Apr 01,264.00,257.20,265.00,255.00,4320.0,2.37
Mar 01,257.90,260.00,260.40,256.60,28680.0,-3.34
Feb 01,266.80,266.30,268.90,255.00,1670.0,0.45
Jan 01,265.60,262.90,266.60,262.90,17240.0,-2.35
Dec 00,272.00,269.70,276.00,268.00,2480.0,0.7
Nov 00,270.10,265.20,270.20,265.20,31660.0,1.96
Oct 00,264.90,272.80,275.00,264.50,340.0,-3.18
Sep 00,273.60,277.50,277.50,272.00,4270.0,-1.69
Aug 00,278.30,276.00,279.00,271.00,3150.0,0.54
Jul 00,276.80,278.50,279.00,276.00,28660.0,-4.58
Jun 00,290.10,272.00,292.50,271.80,3480.0,6.77
May 00,271.70,272.70,274.40,271.30,27360.0,-0.51
Apr 00,273.10,278.40,289.50,274.00,1570.0,-1.9
Mar 00,278.40,275.00,279.80,274.50,15490.0,-4.79
Feb 00,292.40,282.30,322.00,282.20,2670.0,3.25
Jan 00,283.20,281.00,288.00,280.50,16980.0,-1.84
Dec 99,288.50,290.80,291.50,275.00,4590.0,-0.55
Nov 99,290.10,290.80,299.70,289.00,26890.0,-3.04
Oct 99,299.20,297.90,327.50,296.00,550.0,0.44
Sep 99,297.90,255.50,320.00,254.10,1300.0,16.46
Aug 99,255.80,256.80,262.70,252.50,7250.0,-0.43
Jul 99,256.90,257.30,258.20,252.90,26990.0,-2.36
Jun 99,263.10,266.80,268.50,258.60,4700.0,-2.7
May 99,270.40,285.00,285.00,267.90,31400.0,-5.72
Apr 99,286.80,280.40,285.30,277.50,2220.0,2.5
Mar 99,279.80,285.00,293.00,278.20,7340.0,-2.68
Feb 99,287.50,286.80,292.50,285.50,5040.0,0.42
Jan 99,286.30,289.00,289.00,282.10,26570.0,-0.62
Dec 98,288.10,292.00,296.20,285.50,4770.0,-1.5
Nov 98,292.50,292.50,297.00,291.00,25720.0,-0.07
Oct 98,292.70,298.50,302.70,291.50,1030.0,-1.25
Sep 98,296.40,287.00,296.90,287.00,2810.0,7.51
Aug 98,275.70,286.30,290.00,275.60,6660.0,-3.7
Jul 98,286.30,294.20,294.20,286.00,23440.0,-3.6
Jun 98,297.00,292.20,300.10,284.60,4390.0,1.61
May 98,292.30,300.00,300.00,291.20,33080.0,-4.73
Apr 98,306.80,301.00,315.60,299.00,2500.0,2.1
Mar 98,300.50,295.50,303.50,292.80,13440.0,0.47
Feb 98,299.10,301.90,305.50,290.80,4120.0,-1.25
Jan 98,302.90,305.80,306.60,300.60,97800.0,4.74
Dec 97,289.20,296.10,297.70,281.50,18440.0,-2.59
Nov 97,296.90,312.50,312.50,295.10,44850.0,-4.63
Oct 97,311.30,336.00,338.00,310.10,730.0,-6.88
Sep 97,334.30,324.90,335.00,324.90,3530.0,3.02
Aug 97,324.50,324.30,328.80,317.00,4610.0,0.12
Jul 97,324.10,331.80,331.80,320.00,79040.0,-3.02
Jun 97,334.20,344.60,345.00,336.50,3480.0,-3.07
May 97,344.80,342.40,347.60,340.20,24030.0,1.41
Apr 97,340.00,351.60,351.90,337.00,5080.0,-3.13
Mar 97,351.00,346.00,352.40,346.00,80500.0,-3.76
Feb 97,364.70,345.40,359.50,338.50,9460.0,5.74
Jan 97,344.90,353.70,353.70,344.20,16670.0,-6.35
Dec 96,368.30,371.20,373.50,366.00,8029.999999999999,-1.26
Nov 96,373.00,379.00,379.00,372.50,140.0,-1.35
Oct 96,378.10,377.30,384.00,377.00,320.0,0.11
Sep 96,377.70,386.20,386.30,377.20,4510.0,-2.38
Aug 96,386.90,387.60,390.50,386.00,4990.0,-0.15
Jul 96,387.50,385.00,388.00,384.00,39520.0,1.95
Jun 96,380.10,390.80,391.00,382.30,8760.0,-2.76
May 96,390.90,391.30,392.00,389.50,34890.0,-0.26
Apr 96,391.90,395.30,398.00,389.70,5300.0,-0.99
Mar 96,395.80,392.50,400.80,392.50,38560.0,-1.03
Feb 96,399.90,406.80,417.50,396.50,3350.0,-1.41
Jan 96,405.60,387.40,407.30,387.40,38540.0,4.64
Dec 95,387.60,387.60,390.50,385.50,6610.0,0.1
Nov 95,387.20,386.30,389.00,381.80,16390.0,1.1
Oct 95,383.00,383.30,386.40,381.60,1630.0,-0.21
Sep 95,383.80,386.20,386.20,383.30,4500.0,0.24
Aug 95,382.90,382.00,387.00,381.30,6820.0,0.16
Jul 95,382.30,384.10,387.10,381.60,26210.0,-0.68
Jun 95,384.90,385.00,392.50,383.80,10470.0,-0.05
May 95,385.10,388.30,388.30,383.80,25910.0,-0.49
Apr 95,387.00,393.10,397.60,386.00,3520.0,-1.33
Mar 95,392.20,379.00,401.00,378.90,22100.0,4.06
Feb 95,376.90,376.40,381.00,374.50,8160.0,0.4
Jan 95,375.40,377.70,384.50,372.00,18720.0,-2.01
Dec 94,383.10,379.50,383.60,374.50,7920.0,0.63
Nov 94,380.70,384.30,386.70,379.70,32310.000000000004,-0.73
Oct 94,383.50,392.60,395.20,385.50,770.0,-2.71
Sep 94,394.20,389.50,395.90,389.50,3610.0,2.05
Aug 94,386.30,383.80,387.30,375.40,13710.0,0.86
Jul 94,383.00,386.70,387.70,381.50,26640.0,-0.73
Jun 94,385.80,387.40,395.70,377.70,8570.0,-0.34
May 94,387.10,376.60,388.20,376.60,29490.0,2.79
Apr 94,376.60,392.00,393.00,369.10,4960.0,-3.88
Mar 94,391.80,381.00,394.00,375.00,26990.0,2.73
Feb 94,381.40,381.30,390.50,375.70,4820.0,-0.05
Jan 94,381.60,391.00,391.00,375.30,32870.0,-2.35
Dec 93,390.80,369.50,392.50,368.30,7520.0,5.68
Nov 93,369.80,377.00,377.00,368.00,43660.0,0.3
Oct 93,368.70,354.30,375.00,350.50,430.0,3.83
Sep 93,355.10,353.00,356.30,343.00,5020.0,-4.8
Aug 93,373.00,405.50,409.00,364.50,13490.0,-8.35
Jul 93,407.00,391.90,407.50,391.20,29740.0,7.56
Jun 93,378.40,377.50,378.60,361.70,8400.0,0.03
May 93,378.30,355.00,384.50,355.00,5850.0,6.12
Apr 93,356.50,337.00,354.20,336.00,4000.0,5.6
Mar 93,337.60,329.80,339.80,326.00,14650.0,2.8
Feb 93,328.40,330.00,334.20,328.00,9190.0,-0.55
Jan 93,330.20,330.00,332.70,327.00,23730.0,-0.78
Dec 92,332.80,334.40,339.20,331.80,9660.0,-0.45
Nov 92,334.30,339.90,339.90,329.70,54380.0,-1.5
Oct 92,339.40,348.10,351.00,338.00,32240.000000000004,-2.42
Sep 92,347.80,340.80,351.20,340.80,1990.0,1.49
Aug 92,342.70,356.40,356.50,332.50,5640.0,-4.11
Jul 92,357.40,347.30,359.10,347.30,18710.0,4.17
Jun 92,343.10,336.60,345.00,336.40,7110.0,1.99
May 92,336.40,338.50,338.50,336.10,37710.0,-0.36
Apr 92,337.60,344.50,345.00,335.00,8690.0,-1.77
Mar 92,343.70,350.00,351.40,338.20,26920.0,-2.63
Feb 92,353.00,357.50,359.30,348.50,4570.0,-1.12
Jan 92,357.00,352.10,359.80,349.30,16650.0,0.82
Dec 91,354.10,368.80,372.50,351.00,6300.0,-3.75
Nov 91,367.90,355.60,369.30,353.70,29720.0,2.74
Oct 91,358.10,354.10,364.60,353.70,2420.0,1.16
Sep 91,354.00,348.30,356.10,341.00,4750.0,1.69
Aug 91,348.10,363.60,363.70,348.10,6690.0,-4.26
Jul 91,363.60,370.00,371.00,360.60,20540.0,-1.22
Jun 91,368.10,363.80,375.00,359.80,9020.0,1.85
May 91,361.40,356.00,364.30,353.20,18060.0,1.55
Apr 91,355.90,360.70,366.00,350.30,8320.0,-0.34
Mar 91,357.10,367.00,367.50,354.50,30560.0,-2.8
Feb 91,367.40,369.50,371.00,356.00,6490.0,0.44
Jan 91,365.80,393.00,403.20,365.20,24840.0,-7.2
Dec 90,394.20,383.00,394.20,368.00,10110.0,2.84
Nov 90,383.30,385.70,390.20,377.60,26090.0,1.03
Oct 90,379.40,397.00,399.80,360.50,3810.0,-5.74
Sep 90,402.50,382.00,408.20,378.00,3230.0,5.28
Aug 90,382.30,370.20,415.50,370.10,7690.0,3.32
Jul 90,370.00,358.00,373.30,353.00,29920.0,3.38
Jun 90,357.90,363.60,364.70,346.00,11280.0,-1.76
May 90,364.30,368.00,375.60,362.70,29890.0,-1.11
Apr 90,368.40,367.20,381.10,367.10,7020.0,-0.49
Mar 90,370.20,402.50,404.10,365.80,25010.0,-8.84
Feb 90,406.10,413.00,425.00,405.50,9950.0,-1.53
Jan 90,412.40,399.60,422.00,393.00,27000.0,2.46
Dec 89,402.50,413.00,418.70,398.60,9190.0,-2.21
Nov 89,411.60,374.20,415.50,374.20,33250.0,9.85
Oct 89,374.70,366.00,378.00,361.00,2920.0,2.04
Sep 89,367.20,359.00,369.20,359.00,4040.0,2.03
Aug 89,359.90,370.00,375.00,360.00,12270.0,-2.86
Jul 89,370.50,381.00,386.50,365.80,54460.0,-1.09
Jun 89,374.60,363.00,381.00,356.50,23460.0,3.11
May 89,363.30,378.00,379.80,363.00,29260.0,-3.86
Apr 89,377.90,386.00,393.00,377.50,16190.000000000002,-1.87
Mar 89,385.10,383.50,396.50,381.50,19640.0,-0.62
Feb 89,387.50,392.30,398.00,380.00,15870.0,-1.05
Jan 89,391.60,410.80,410.80,389.50,24570.0,-4.49
Dec 88,410.00,425.00,433.50,408.20,21870.0,-3.48
Nov 88,424.80,411.00,425.70,411.00,37350.0,2.93
Oct 88,412.70,394.70,414.30,393.30,2620.0,4.64
Sep 88,394.40,430.00,430.00,391.80,4160.0,-8.56
Aug 88,431.30,436.80,437.20,422.00,13920.0,-1.1
Jul 88,436.10,437.90,447.00,425.90,45130.0,0.18
Jun 88,435.30,457.50,469.50,434.50,14580.0,-4.33
May 88,455.00,445.60,459.30,444.80,21050.0,0.89
Apr 88,451.00,457.30,462.00,446.00,14650.0,-0.75
Mar 88,454.40,429.20,460.00,427.50,35760.0,5.55
Feb 88,430.50,454.80,457.50,424.00,14950.0,-5.22
Jan 88,454.20,479.20,484.00,450.00,26600.0,-6.56
Dec 87,486.10,488.00,502.30,475.00,18550.0,-1.0
Nov 87,491.00,469.90,497.00,456.00,9010.0,4.74
Oct 87,468.80,453.50,491.50,452.80,6610.0,3.56
Sep 87,452.70,454.20,465.30,452.20,8280.0,0.47
Aug 87,450.60,475.00,479.00,448.00,11760.0,-2.91
Jul 87,464.10,446.80,464.80,445.30,27870.0,3.27
Jun 87,449.40,445.00,465.50,434.00,14930.0,-0.18
May 87,450.20,455.00,475.00,448.80,47160.0,-0.86
Apr 87,454.10,417.60,478.50,415.00,11520.0,8.64
