"Date","Price","Open","High","Low","Change %"
"Nov 06","3.6180","3.6500","3.6640","3.6170","-0.94%"
"Oct 06","3.6525","3.6875","3.6975","3.6355","-0.96%"
"Sep 06","3.6880","3.6820","3.6950","3.6410","0.19%"
"Aug 06","3.6810","3.6580","3.6870","3.6520","0.64%"
"Jul 06","3.6575","3.6715","3.6965","3.6305","-0.46%"
"Jun 06","3.6745","3.6305","3.6975","3.6285","1.20%"
"May 06","3.6310","3.6230","3.6550","3.5750","0.17%"
"Apr 06","3.6250","3.6805","3.6840","3.6230","-1.58%"
"Mar 06","3.6831","3.7140","3.7260","3.6830","-0.86%"
"Feb 06","3.7150","3.7490","3.7575","3.7110","-0.95%"
"Jan 06","3.7505","3.7800","3.7802","3.7360","-0.77%"
"Dec 05","3.7795","3.7725","3.7812","3.7605","0.13%"
"Nov 05","3.7745","3.7761","3.7815","3.7715","-0.01%"
"Oct 05","3.7750","3.7696","3.7755","3.7605","0.16%"
"Sep 05","3.7690","3.7705","3.7775","3.7505","-0.08%"
"Aug 05","3.7720","3.7405","3.7722","3.7405","0.57%"
"Jul 05","3.7505","3.8003","3.8003","3.7405","-1.30%"
"Jun 05","3.8000","3.8000","3.8000","3.8000","0.00%"
"May 05","3.8000","3.8003","3.8003","3.8000","0.00%"
"Apr 05","3.8000","3.8000","3.8000","3.8000","0.00%"
"Mar 05","3.8000","3.7995","3.8000","3.7995","0.00%"
"Feb 05","3.8000","3.8000","3.8000","3.8000","0.00%"
"Jan 05","3.8000","3.8000","3.8005","3.7904","0.00%"
"Dec 04","3.8000","3.8000","3.8000","3.8000","0.00%"
"Nov 04","3.8000","3.8000","3.8000","3.7999","0.00%"
"Oct 04","3.8000","3.7995","3.8003","3.7995","0.00%"
"Sep 04","3.8000","3.8000","3.8000","3.7996","0.00%"
"Aug 04","3.8000","3.8004","3.8004","3.8000","0.00%"
"Jul 04","3.8000","3.8004","3.8004","3.7995","0.00%"
"Jun 04","3.8000","3.8003","3.8003","3.8000","0.00%"
"May 04","3.8000","3.8000","3.8005","3.8000","0.00%"
"Apr 04","3.8000","3.8001","3.8004","3.8000","0.00%"
"Mar 04","3.8000","3.8000","3.8004","3.8000","0.00%"
"Feb 04","3.8000","3.8001","3.8004","3.8000","0.00%"
"Jan 04","3.8000","3.8000","3.8003","3.8000","0.00%"
"Dec 03","3.8000","3.7995","3.8004","3.7995","0.00%"
"Nov 03","3.8000","3.8003","3.8004","3.7999","0.00%"
"Oct 03","3.8000","3.8004","3.8004","3.8000","0.00%"
"Sep 03","3.8000","3.8004","3.8004","3.7995","0.00%"
"Aug 03","3.8000","3.7999","3.8004","3.7999","0.00%"
"Jul 03","3.8000","3.7999","3.8003","3.7999","0.00%"
"Jun 03","3.8000","3.8000","3.8004","3.7999","0.00%"
"May 03","3.8000","3.8001","3.8001","3.7999","0.00%"
"Apr 03","3.8000","3.7999","3.8005","3.7999","0.00%"
"Mar 03","3.8000","3.7999","3.8001","3.7995","0.00%"
"Feb 03","3.8000","3.8003","3.8005","3.7999","0.00%"
"Jan 03","3.8000","3.8000","3.8005","3.7999","0.00%"
"Dec 02","3.8000","3.8000","3.8005","3.7999","0.00%"
"Nov 02","3.8000","3.8000","3.8005","3.7955","0.00%"
"Oct 02","3.8000","3.8000","3.8004","3.7995","0.00%"
"Sep 02","3.8000","3.8001","3.8005","3.7999","0.00%"
"Aug 02","3.8000","3.8000","3.8003","3.7999","0.00%"
"Jul 02","3.8000","3.8001","3.8004","3.7999","0.00%"
"Jun 02","3.8000","3.8000","3.8005","3.7999","0.00%"
"May 02","3.8000","3.8002","3.8002","3.7995","0.00%"
"Apr 02","3.8000","3.7995","3.8000","3.7995","0.00%"
"Mar 02","3.8000","3.7995","3.8000","3.7991","0.00%"
"Feb 02","3.8000","3.7995","3.8000","3.7991","0.00%"
"Jan 02","3.8000","3.7995","3.8000","3.7995","0.00%"
"Dec 01","3.8000","3.7996","3.8000","3.7995","0.00%"
"Nov 01","3.8000","3.8000","3.8005","3.7999","0.00%"
"Oct 01","3.8000","3.7999","3.8000","3.7995","0.00%"
"Sep 01","3.8000","3.8000","3.8005","3.7998","0.00%"
"Aug 01","3.8000","3.8001","3.8005","3.7999","0.00%"
"Jul 01","3.8000","3.8004","3.8005","3.7998","0.00%"
"Jun 01","3.8000","3.8004","3.8005","3.7990","0.00%"
"May 01","3.8000","3.8000","3.8005","3.7998","0.00%"
"Apr 01","3.8000","3.7995","3.8000","3.7995","0.00%"
"Mar 01","3.7999","3.7999","3.8000","3.7615","-0.00%"
"Feb 01","3.8000","3.8000","3.8005","3.7999","0.00%"
"Jan 01","3.8000","3.8003","3.8005","3.7620","0.00%"
"Dec 00","3.8000","3.8000","3.8004","3.8000","0.00%"
"Nov 00","3.8000","3.7996","3.8000","3.7996","0.00%"
"Oct 00","3.8000","3.7996","3.8000","3.7995","0.00%"
"Sep 00","3.8000","3.7996","3.8001","3.7996","0.00%"
"Aug 00","3.8000","3.7996","3.8001","3.7991","0.00%"
"Jul 00","3.7999","3.7997","3.8001","3.7995","-0.00%"
"Jun 00","3.8000","3.7996","3.8001","3.7991","0.00%"
"May 00","3.7999","3.8001","3.8001","3.7992","-0.00%"
"Apr 00","3.8000","3.7998","3.8003","3.7953","0.00%"
"Mar 00","3.8000","3.7996","3.8001","3.7995","0.00%"
"Feb 00","3.7999","3.8000","3.8001","3.7961","0.00%"
"Jan 00","3.7999","3.7999","3.8001","3.7996","0.00%"
"Dec 99","3.7999","3.7997","3.8002","3.7992","-0.00%"
"Nov 99","3.8000","3.7996","3.8001","3.7901","0.00%"
"Oct 99","3.8000","3.8000","3.8005","3.7624","0.00%"
"Sep 99","3.8000","3.7996","3.8001","3.7956","0.00%"
"Aug 99","3.8000","3.7996","3.8001","3.7796","0.00%"
"Jul 99","3.8000","3.7999","3.8001","3.7921","0.00%"
"Jun 99","3.8000","3.8005","3.8005","3.7995","0.01%"
"May 99","3.7997","3.8001","3.8102","3.7800","-0.01%"
"Apr 99","3.8000","3.7999","3.8000","3.7550","0.00%"
"Mar 99","3.7999","3.7998","3.8100","3.7900","-0.00%"
"Feb 99","3.8000","3.7902","3.8002","3.7902","0.00%"
"Jan 99","3.7999","3.8001","3.8001","3.7900","-0.00%"
"Dec 98","3.8000","3.7998","3.8001","3.7899","0.00%"
"Nov 98","3.8000","3.8001","3.8003","3.7901","0.00%"
"Oct 98","3.8000","3.8001","3.8004","3.7901","-0.13%"
"Sep 98","3.8050","4.1550","4.1750","3.7850","-8.65%"
"Aug 98","4.1653","4.1547","4.2747","4.1148","0.36%"
"Jul 98","4.1502","4.1047","4.3308","4.0348","0.49%"
"Jun 98","4.1300","3.8500","4.2050","3.8350","7.40%"
"May 98","3.8453","3.7348","4.0548","3.6330","3.02%"
"Apr 98","3.7325","3.6425","3.8275","3.5775","1.62%"
"Mar 98","3.6730","3.7280","4.1330","3.5330","-0.60%"
"Feb 98","3.6950","4.1550","4.2550","3.3550","-11.82%"
"Jan 98","4.1903","3.8798","4.8848","3.8798","7.87%"
"Dec 97","3.8845","3.5095","3.9345","3.5095","10.67%"
"Nov 97","3.5100","3.3500","3.5555","3.2025","4.78%"
"Oct 97","3.3500","3.2450","3.4650","3.0150","3.22%"
"Sep 97","3.2455","2.9255","3.2575","2.8845","10.82%"
"Aug 97","2.9287","2.6387","2.9688","2.5838","11.13%"
"Jul 97","2.6355","2.5260","2.6555","2.4890","4.40%"
"Jun 97","2.5245","2.5140","2.5255","2.4995","0.42%"
"May 97","2.5140","2.5110","2.5265","2.4740","0.12%"
"Apr 97","2.5110","2.4780","2.5168","2.4743","1.29%"
"Mar 97","2.4790","2.4825","2.4885","2.4685","-0.10%"
"Feb 97","2.4815","2.4855","2.4985","2.4755","-0.17%"
"Jan 97","2.4858","2.5260","2.5270","2.4665","-1.57%"
"Dec 96","2.5255","2.5273","2.5315","2.5170","-0.06%"
"Nov 96","2.5270","2.5271","2.5335","2.5160","0.00%"
"Oct 96","2.5270","2.5065","2.5330","2.4988","0.83%"
"Sep 96","2.5062","2.4938","2.5115","2.4935","0.51%"
"Aug 96","2.4935","2.4955","2.4964","2.4872","-0.07%"
"Jul 96","2.4952","2.4950","2.5001","2.4845","0.01%"
"Jun 96","2.4950","2.4958","2.5045","2.4905","-0.04%"
"May 96","2.4960","2.4915","2.5030","2.4790","0.10%"
"Apr 96","2.4935","2.5315","2.5358","2.4873","-1.60%"
"Mar 96","2.5340","2.5480","2.5505","2.5270","-0.55%"
"Feb 96","2.5480","2.5610","2.5610","2.5365","-0.50%"
"Jan 96","2.5608","2.5395","2.5685","2.5392","0.86%"
"Dec 95","2.5390","2.5375","2.5460","2.5300","0.07%"
"Nov 95","2.5373","2.5405","2.5487","2.5285","-0.15%"
"Oct 95","2.5412","2.5157","2.5485","2.5137","1.04%"
"Sep 95","2.5150","2.4940","2.5355","2.4904","0.86%"
"Aug 95","2.4935","2.4575","2.5025","2.4468","1.46%"
"Jul 95","2.4577","2.4380","2.4607","2.4335","0.81%"
"Jun 95","2.4380","2.4660","2.4690","2.4310","-1.14%"
"May 95","2.4660","2.4695","2.5005","2.4550","-0.12%"
"Apr 95","2.4690","2.5310","2.5315","2.4525","-2.37%"
"Mar 95","2.5290","2.5531","2.5550","2.5215","-0.95%"
"Feb 95","2.5532","2.5575","2.5581","2.5460","-0.13%"
"Jan 95","2.5565","2.5550","2.5652","2.5415","0.12%"
"Dec 94","2.5535","2.5560","2.5685","2.5535","-0.09%"
"Nov 94","2.5557","2.5540","2.5683","2.5515","-0.02%"
"Oct 94","2.5562","2.5613","2.5776","2.5402","-0.28%"
"Sep 94","2.5635","2.5585","2.5700","2.5485","0.18%"
"Aug 94","2.5590","2.5935","2.5947","2.5430","-1.34%"
"Jul 94","2.5937","2.6025","2.6068","2.5855","-0.41%"
"Jun 94","2.6045","2.5780","2.6070","2.5755","0.99%"
"May 94","2.5790","2.6795","2.6795","2.5685","-3.69%"
"Apr 94","2.6778","2.6730","2.6980","2.6635","0.07%"
"Mar 94","2.6760","2.7265","2.7435","2.6705","-1.89%"
"Feb 94","2.7275","2.7715","2.7975","2.7231","-1.45%"
"Jan 94","2.7675","2.6975","2.7715","2.6065","2.73%"
"Dec 93","2.6939","2.5584","2.7104","2.5469","5.31%"
"Nov 93","2.5580","2.5565","2.5670","2.5460","0.08%"
"Oct 93","2.5560","2.5465","2.5612","2.5400","0.39%"
"Sep 93","2.5460","2.5487","2.5600","2.5405","-0.06%"
"Aug 93","2.5475","2.5635","2.5635","2.5445","-0.60%"
"Jul 93","2.5630","2.5715","2.5817","2.5595","-0.37%"
"Jun 93","2.5725","2.5560","2.5980","2.5510","0.70%"
"May 93","2.5547","2.5657","2.5726","2.5547","-0.44%"
"Apr 93","2.5660","2.5900","2.5980","2.5645","-0.98%"
"Mar 93","2.5915","2.6300","2.6338","2.5888","-1.41%"
"Feb 93","2.6285","2.6240","2.6400","2.6140","0.13%"
"Jan 93","2.6250","2.6145","2.6355","2.5850","0.38%"
"Dec 92","2.6150","2.5315","2.6240","2.5310","3.21%"
"Nov 92","2.5337","2.5100","2.5383","2.5080","0.98%"
"Oct 92","2.5090","2.4955","2.5125","2.4940","0.60%"
"Sep 92","2.4940","2.4915","2.5220","2.4880","0.04%"
"Aug 92","2.4930","2.5005","2.5026","2.4855","-0.30%"
"Jul 92","2.5005","2.5045","2.5070","2.4930","-0.18%"
"Jun 92","2.5050","2.5110","2.5460","2.5035","-0.20%"
"May 92","2.5100","2.5240","2.5403","2.5078","-0.48%"
"Apr 92","2.5222","2.5222","2.5903","2.5222","-2.33%"
"Mar 92","2.5825","2.5825","2.6105","2.5570","-0.11%"
"Feb 92","2.5854","2.5854","2.6310","2.5825","-1.51%"
"Jan 92","2.6250","2.6250","2.7285","2.6250","-3.67%"
"Dec 91","2.7250","2.7250","2.7535","2.7210","-0.95%"
"Nov 91","2.7510","2.7510","2.7548","2.7275","0.13%"
"Oct 91","2.7475","2.7475","2.7585","2.7310","0.35%"
"Sep 91","2.7380","2.7380","2.7880","2.7348","-1.73%"
"Aug 91","2.7862","2.7862","2.7933","2.7557","0.00%"
"Jul 91","2.7862","2.7862","2.7957","2.7750","0.04%"
"Jun 91","2.7850","2.7850","2.7935","2.7535","0.92%"
"May 91","2.7597","2.7597","2.7685","2.7418","0.32%"
"Apr 91","2.7510","2.7510","2.7780","2.7300","-0.56%"
"Mar 91","2.7665","2.7665","2.7915","2.7200","1.72%"
"Feb 91","2.7198","2.7198","2.7215","2.6850","0.83%"
"Jan 91","2.6975","2.6975","2.7345","2.6925","-0.11%"
"Dec 90","2.7005","2.7005","2.7295","2.6925","-0.07%"
"Nov 90","2.7025","2.7025","2.7055","2.6735","0.08%"
"Oct 90","2.7003","2.7003","2.7095","2.6875","0.03%"
"Sep 90","2.6995","2.6995","2.7040","2.6820","0.47%"
"Aug 90","2.6868","2.6868","2.7040","2.6850","-0.34%"
"Jul 90","2.6960","2.6960","2.7100","2.6960","-0.53%"
"Jun 90","2.7104","2.7104","2.7143","2.7021","0.33%"
"May 90","2.7015","2.7015","2.7160","2.6855","-0.50%"
"Apr 90","2.7150","2.7150","2.7375","2.7145","-0.46%"
"Mar 90","2.7275","2.7275","2.7350","2.7020","0.80%"
"Feb 90","2.7058","2.7058","2.7086","2.6947","0.31%"
"Jan 90","2.6975","2.6975","2.7115","2.6955","-0.04%"
"Dec 89","2.6985","2.6985","2.7138","2.6955","-0.11%"
"Nov 89","2.7015","2.7015","2.7133","2.6965","0.35%"
"Oct 89","2.6920","2.6920","2.6940","2.6920","0.09%"
"Sep 89","2.6895","2.6895","2.6895","2.6895","-0.20%"
"Aug 89","2.6950","2.6950","2.6950","2.6950","1.28%"
"Jul 89","2.6610","2.6610","2.6610","2.6610","-1.52%"
